,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
511,Muyuka,CM,75.15,broken clouds,4.2898,9.4103,Muyuka Motor Park (El Paso)
513,Tahoua,NE,84.15,few clouds,14.8888,5.2692,Bungalows Guesthouse
514,Puerto Baquerizo Moreno,EC,72.59,light rain,-0.9,-89.6,Hotel los Algarrobos
515,Guaruja,BR,87.66,clear sky,-23.9931,-46.2564,Charme Hotel Guarujá
517,Itarema,BR,83.55,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
523,Buala,SB,78.53,light rain,-8.145,159.5921,Maringe Lagoon Lodge
525,Arucas,ES,72.37,overcast clouds,28.1198,-15.5233,Casa Mama Fela
526,Moussoro,TD,81.93,overcast clouds,13.6408,16.4901,Hôtel Salama
528,Savelugu,GH,77.5,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
529,Bo Rai,TH,81.77,overcast clouds,12.5728,102.5371,Baiboon Resort
533,Manggar,ID,79.81,overcast clouds,-2.8833,108.2667,Guest Hotel
534,Cap Malheureux,MU,70.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
536,Antigonish,CA,81.14,overcast clouds,45.6169,-61.9986,Claymore Inn and Suites
542,Ormara,PK,86.18,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
544,Matay,EG,82.71,clear sky,28.419,30.7792,Nag Aespen
545,Ahome,MX,89.55,overcast clouds,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
551,Lorengau,PG,81.41,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
554,Shubarshi,KZ,78.8,clear sky,48.5872,57.1869,
556,Muskegon,US,81.3,broken clouds,43.3,-86.1334,Timberline Estates
557,Hitachi,JP,71.6,overcast clouds,36.6,140.65,Toyoko Inn Hitachi Ekimae
560,Abu Samrah,SY,77.41,clear sky,35.3029,37.1841,
562,Half Moon Bay,US,88.88,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
566,Mahon,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
567,Plopsoru,RO,70.63,clear sky,44.7833,23.35,
568,Hambantota,LK,79.65,overcast clouds,6.1241,81.1185,Bungalow 63
570,Bossangoa,CF,72.12,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
571,Fonte Boa,BR,85.5,overcast clouds,-2.4959,-66.2662,
572,Alta Floresta,BR,89.42,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
573,Bet Shemesh,IL,77.0,clear sky,31.7496,34.9888,Bethlehem Suites Dreams
574,Riviere-Au-Renard,CA,70.09,overcast clouds,48.9957,-64.3971,Auberge Le Caribou
575,Ugoofaaru,MV,82.15,scattered clouds,5.6667,73.0,Ungoofaaru Inn
576,Tipuani,BO,87.13,broken clouds,-15.5648,-68.0185,
578,Marsala,IT,83.93,clear sky,37.7966,12.4352,Villa Favorita Hotel e Resort
579,Olinda,BR,74.93,mist,-8.0089,-34.8553,Flat Quatro Rodas Olinda
581,Atima,HN,81.25,overcast clouds,14.9333,-88.4833,Hotel central
583,Shediac,CA,87.1,few clouds,46.2198,-64.5411,Auberge Gabrièle (Hôtel & Restaurant)
584,Atasu,KZ,80.01,clear sky,48.6814,71.6433,Dostyk
585,Oyama,JP,76.59,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
586,Shache,CN,82.71,overcast clouds,38.4167,77.2406,Delong Hotel
